Unnamed: 0;2020;2021
&nbspLPA;0.47;0.42
&nbspP/L;35.96;28.73
&nbspVPA;9.52;9.42
&nbspP/VP;1.79;1.27
&nbspP/EBIT;46.11;31.60
&nbspP/EBITDA;44.61;29.38
&nbspP/Ativos;1.36;0.95
&nbspEbitda;40;43
&nbspMarg. Ebitda;10%;10%
&nbspPSR;4.38;2.82
&nbspROE;5%;4%
&nbspROA;4%;3%
&nbspROIC;7%;7%
&nbspEV/EBIT;13.52;15.07
&nbspEV/EBITDA;13.08;14.02
&nbspDiv. Yield;0,00%;3,77%
&nbspDiv. Payout;0%;0%
&nbspBeta;1.17;0.93
&nbspValorização;-18%;-25%
&nbspNegócios/dia;2721;3121
&nbspVolume diário;12;10
