Unnamed: 0;2020;2021
&nbspLPA;0.16;0.14
&nbspP/L;120.70;184.56
&nbspVPA;1.38;1.46
&nbspP/VP;13.86;17.64
&nbspP/EBIT;57.43;79.98
&nbspP/EBITDA;26.87;31.72
&nbspP/Ativos;3.76;4.92
&nbspEbitda;265;303
&nbspMarg. Ebitda;18%;19%
&nbspPSR;4.96;6.03
&nbspROE;11%;10%
&nbspROA;3%;3%
&nbspROIC;10%;9%
&nbspEV/EBIT;74.85;80.60
&nbspEV/EBITDA;35.02;31.97
&nbspDiv. Yield;0,16%;0,19%
&nbspDiv. Payout;37%;42%
&nbspBeta;0.13;0.28
&nbspValorização;39%;39%
&nbspNegócios/dia;10296;11573
&nbspVolume diário;80;81
