Unnamed: 0;2021
&nbspLPA;-0.15
&nbspP/L;-188.30
&nbspVPA;5.43
&nbspP/VP;5.34
&nbspP/EBIT;34.52
&nbspP/EBITDA;17.56
&nbspP/Ativos;2.02
&nbspEbitda;118
&nbspMarg. Ebitda;30%
&nbspPSR;5.34
&nbspROE;-3%
&nbspROA;-1%
&nbspROIC;9%
&nbspEV/EBIT;34.42
&nbspEV/EBITDA;17.51
&nbspDiv. Yield;0,00%
&nbspDiv. Payout;0%
&nbspBeta;0.22
&nbspValorização;32%
&nbspNegócios/dia;813
&nbspVolume diário;7
