Unnamed: 0;2020;2021
&nbspLPA;0.23;0.38
&nbspP/L;294.14;184.09
&nbspVPA;7.05;7.21
&nbspP/VP;9.68;9.64
&nbspP/EBIT;82.78;65.91
&nbspP/EBITDA;54.70;43.03
&nbspP/Ativos;2.97;2.96
&nbspEbitda;2479;3205
&nbspMarg. Ebitda;18%;21%
&nbspPSR;9.67;8.92
&nbspROE;3%;5%
&nbspROA;1%;2%
&nbspROIC;6%;7%
&nbspEV/EBIT;87.66;70.80
&nbspEV/EBITDA;57.93;46.22
&nbspDiv. Yield;0,00%;0,40%
&nbspDiv. Payout;7%;52%
&nbspBeta;1.44;0.54
&nbspValorização;18%;6%
&nbspNegócios/dia;12991;8654
&nbspVolume diário;288;157
