Unnamed: 0;2021
&nbspLPA;0.20
&nbspP/L;80.54
&nbspVPA;10.50
&nbspP/VP;1.54
&nbspP/EBIT;43.93
&nbspP/EBITDA;14.60
&nbspP/Ativos;1.00
&nbspEbitda;99
&nbspMarg. Ebitda;9%
&nbspPSR;1.25
&nbspROE;2%
&nbspROA;1%
&nbspROIC;5%
&nbspEV/EBIT;24.48
&nbspEV/EBITDA;8.14
&nbspDiv. Yield;0,31%
&nbspDiv. Payout;189%
&nbspBeta;0.76
&nbspValorização;-10%
&nbspNegócios/dia;1514
&nbspVolume diário;10
