Unnamed: 0;2020;2021
&nbspLPA;0.37;0.44
&nbspP/L;44.27;53.25
&nbspVPA;2.56;2.63
&nbspP/VP;6.38;8.97
&nbspP/EBIT;19.84;25.11
&nbspP/EBITDA;14.05;17.15
&nbspP/Ativos;1.38;2.14
&nbspEbitda;217;258
&nbspMarg. Ebitda;13%;15%
&nbspPSR;1.88;2.54
&nbspROE;14%;17%
&nbspROA;3%;4%
&nbspROIC;11%;12%
&nbspEV/EBIT;28.28;25.14
&nbspEV/EBITDA;20.03;17.17
&nbspDiv. Yield;0,43%;0,38%
&nbspDiv. Payout;7%;6%
&nbspBeta;0.40;0.57
&nbspValorização;28%;44%
&nbspNegócios/dia;5332;6659
&nbspVolume diário;31;34
