Unnamed: 0;2021
&nbspLPA;0.44
&nbspP/L;52.34
&nbspVPA;11.45
&nbspP/VP;2.01
&nbspP/EBIT;31.25
&nbspP/EBITDA;21.76
&nbspP/Ativos;1.37
&nbspEbitda;96
&nbspMarg. Ebitda;49%
&nbspPSR;10.68
&nbspROE;4%
&nbspROA;3%
&nbspROIC;20%
&nbspEV/EBIT;13.05
&nbspEV/EBITDA;9.09
&nbspDiv. Yield;0,00%
&nbspDiv. Payout;0%
&nbspBeta;0.45
&nbspValorização;5%
&nbspNegócios/dia;3775
&nbspVolume diário;36
