Unnamed: 0;2021
&nbspLPA;0.43
&nbspP/L;40.39
&nbspVPA;1.32
&nbspP/VP;13.27
&nbspP/EBIT;25.41
&nbspP/EBITDA;23.93
&nbspP/Ativos;2.60
&nbspEbitda;490
&nbspMarg. Ebitda;9%
&nbspPSR;2.25
&nbspROE;33%
&nbspROA;6%
&nbspROIC;13%
&nbspEV/EBIT;26.72
&nbspEV/EBITDA;25.15
&nbspDiv. Yield;0,00%
&nbspDiv. Payout;38%
&nbspBeta;0.69
&nbspValorização;46%
&nbspNegócios/dia;2612
&nbspVolume diário;16
