Unnamed: 0;2018;2019;2020;2021
&nbspLPA;0.66;0.11;-0.01;0.01
&nbspP/L;58.41;141.76;-3592.89;3322.63
&nbspVPA;9.35;3.12;4.32;1.41
&nbspP/VP;4.13;5.02;7.62;17.43
&nbspROE;7%;4%;0%;1%
&nbspDiv. Yield;1,01%;1,08%;0,06%;0,04%
&nbspDiv. Payout;63%;0%;-529%;282%
&nbspBeta;0.26;0.69;1.21;0.91
&nbspValorização;112%;139%;110%;130%
&nbspNegócios/dia;1541;5674;7181;12623
&nbspVolume diário;13;47;38;150
