Unnamed: 0;2021
&nbspLPA;-0.01
&nbspP/L;-2968.67
&nbspVPA;3.87
&nbspP/VP;4.02
&nbspP/EBIT;28.27
&nbspP/EBITDA;14.05
&nbspP/Ativos;1.25
&nbspEbitda;422
&nbspMarg. Ebitda;23%
&nbspPSR;3.29
&nbspROE;0%
&nbspROA;0%
&nbspROIC;6%
&nbspEV/EBIT;28.61
&nbspEV/EBITDA;14.22
&nbspDiv. Yield;0,00%
&nbspDiv. Payout;-2.700%
&nbspBeta;0.63
&nbspValorização;11%
&nbspNegócios/dia;1921
&nbspVolume diário;9
