Unnamed: 0;2019;2020;2021
&nbspLPA;0.61;0.56;0.57
&nbspP/L;16.10;11.20;8.55
&nbspVPA;6.67;6.98;6.84
&nbspP/VP;1.47;0.89;0.72
&nbspROE;9%;8%;8%
&nbspDiv. Yield;2,55%;2,89%;3,67%
&nbspDiv. Payout;32%;40%;0%
&nbspBeta;1.20;0.83;0.84
&nbspValorização;20%;-33%;-18%
&nbspNegócios/dia;3788;3428;3671
&nbspVolume diário;24;11;9
