Unnamed: 0;2021
&nbspLPA;0.30
&nbspP/L;34.17
&nbspVPA;2.18
&nbspP/VP;4.76
&nbspP/EBIT;8.95
&nbspP/EBITDA;6.36
&nbspP/Ativos;1.00
&nbspEbitda;473
&nbspMarg. Ebitda;50%
&nbspPSR;3.18
&nbspROE;14%
&nbspROA;3%
&nbspROIC;15%
&nbspEV/EBIT;12.51
&nbspEV/EBITDA;8.89
&nbspDiv. Yield;0,00%
&nbspDiv. Payout;23%
&nbspBeta;0.30
&nbspValorização;25%
&nbspNegócios/dia;2520
&nbspVolume diário;10
