Unnamed: 0;2016;2017;2018;2019;2020;2021
&nbspLPA;1.00;0.77;0.48;1.42;1.21;1.79
&nbspP/L;4.61;10.53;17.13;28.12;37.75;40.47
&nbspVPA;5.17;6.89;7.12;8.09;9.84;11.21
&nbspP/VP;0.89;1.18;1.16;4.95;4.64;6.47
&nbspROE;19%;11%;7%;18%;12%;16%
&nbspDiv. Yield;4,13%;6,78%;5,42%;1,18%;0,90%;0,52%
&nbspDiv. Payout;29%;73%;94%;17%;16%;23%
&nbspBeta;0.00;-2.50;0.17;0.01;0.29;0.72
&nbspValorização;0%;86%;-1%;400%;15%;53%
&nbspNegócios/dia;1;5;3;7;34;49
&nbspVolume diário;18;0;0;0;0;0
