Unnamed: 0;2021
&nbspLPA;1.35
&nbspP/L;21.22
&nbspVPA;5.28
&nbspP/VP;5.43
&nbspP/EBIT;22.33
&nbspP/EBITDA;21.41
&nbspP/Ativos;3.08
&nbspEbitda;439
&nbspMarg. Ebitda;18%
&nbspPSR;3.94
&nbspROE;26%
&nbspROA;14%
&nbspROIC;33%
&nbspEV/EBIT;21.12
&nbspEV/EBITDA;20.25
&nbspDiv. Yield;0,00%
&nbspDiv. Payout;21%
&nbspBeta;0.20
&nbspValorização;82%
&nbspNegócios/dia;6212
&nbspVolume diário;45
