Unnamed: 0;2020;2021
&nbspLPA;2.75;5.08
&nbspP/L;5.78;4.55
&nbspVPA;0.44;1.59
&nbspP/VP;36.32;14.51
&nbspP/EBIT;3.51;3.94
&nbspP/EBITDA;3.31;3.72
&nbspP/Ativos;1.04;1.31
&nbspEbitda;461;597
&nbspMarg. Ebitda;26%;29%
&nbspPSR;0.86;1.10
&nbspROE;629%;319%
&nbspROA;18%;29%
&nbspROIC;35%;44%
&nbspEV/EBIT;6.72;5.09
&nbspEV/EBITDA;6.33;4.79
&nbspDiv. Yield;0,00%;0,00%
&nbspDiv. Payout;0%;0%
&nbspBeta;0.52;0.51
&nbspValorização;170%;47%
&nbspNegócios/dia;635;557
&nbspVolume diário;3;3
