Unnamed: 0;2021
&nbspLPA;0.05
&nbspP/L;330.78
&nbspVPA;0.84
&nbspP/VP;20.78
&nbspROE;6%
&nbspDiv. Yield;0,00%
&nbspDiv. Payout;8%
&nbspBeta;0.39
&nbspValorização;-13%
&nbspNegócios/dia;2302
&nbspVolume diário;19
