Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;2.31;1.45;4.27;3.63;5.38
&nbspP/L;8.22;16.20;17.84;25.91;22.82
&nbspVPA;20.66;21.37;24.27;29.51;33.64
&nbspP/VP;0.92;1.10;3.14;3.19;3.65
&nbspROE;11%;7%;18%;12%;16%
&nbspDiv. Yield;3,63%;5,77%;1,85%;1,19%;0,84%
&nbspDiv. Payout;73%;94%;17%;16%;23%
&nbspBeta;0.68;0.60;1.16;1.47;1.09
&nbspValorização;14%;34%;217%;25%;34%
&nbspNegócios/dia;485;1176;8156;16149;18929
&nbspVolume diário;9;12;123;251;424
