Unnamed: 0;2020;2021
&nbspLPA;-0.14;-0.21
&nbspP/L;-50.45;-29.98
&nbspVPA;2.01;1.78
&nbspP/VP;3.44;3.52
&nbspP/EBIT;25.72;20.46
&nbspP/EBITDA;12.71;9.67
&nbspP/Ativos;0.92;0.76
&nbspEbitda;413;493
&nbspMarg. Ebitda;28%;34%
&nbspPSR;3.59;3.29
&nbspROE;-7%;-12%
&nbspROA;-2%;-3%
&nbspROIC;4%;5%
&nbspEV/EBIT;36.92;35.03
&nbspEV/EBITDA;18.25;16.56
&nbspDiv. Yield;0,00%;0,00%
&nbspDiv. Payout;-1%;-1%
&nbspBeta;0.75;0.44
&nbspValorização;-7%;-5%
&nbspNegócios/dia;4205;7074
&nbspVolume diário;28;30
