Ano;LPA;P_L;VPA;P_VP;P_EBIT;P_EBITDA;P_Ativos;Ebitda;Marg_Ebitda;PSR;ROE;ROA;ROIC;EV_EBIT;EV_EBITDA;Div_Yield;Div_Payout;Beta;Valorizacao;Negocios_dia;Volume_diario;Ticker
2013;1.16;7.52;5.65;1.55;5.43;4.39;0.94;178.0;0.19;0.82;0.21;0.12;0.19;8.63;6.98;0.09269999999999999;0.66;0.34;0.17;295;1;ETER3
2014;0.49;6.69;2.87;1.13;4.51;3.52;0.65;166.0;0.17;0.59;0.17;0.1;0.16;9.98;7.78;0.20620000000000002;0.79;0.32;-0.18;233;0;ETER3
2015;0.17;12.47;2.79;0.75;4.07;2.84;0.4;132.0;0.14;0.38;0.06;0.03;0.11;14.71;10.29;0.1435;1.63;0.42;-0.28;333;0;ETER3
2016;-0.2;-6.56;2.56;0.51;-33.75;7.54;0.28;31.0;0.04;0.29;-0.08;-0.04;-0.01;-189.31;42.29;0.0;-0.17;0.35;-0.33;298;1;ETER3
2017;-1.54;-0.6;0.95;0.97;-0.72;-0.85;0.29;-193.0;-0.29;0.25;-1.62;-0.49;-0.45;-5.6;-6.62;0.0;0.0;0.62;-0.34;380;1;ETER3
2018;-4.99;-0.56;0.4;6.96;-0.79;-0.91;0.15;-92.0;-0.17;0.16;-0.01242;-0.26;-0.2;-12.54;-14.41;0.0;0.0;0.32;-0.5;341;1;ETER3
2019;-0.41;-10.41;-0.06;-67.68;3.66;2.42;0.25;56.0;0.11;0.28;6.5;-0.02;0.08;35.46;23.47;0.0;0.0;0.53;0.43;347;1;ETER3
2020;3.1;4.09;4.16;3.04;3.46;3.14;0.88;208.0;0.3;0.96;0.74;0.21;0.31;6.31;5.74;0.0;0.0;1.16;1.95;2991;18;ETER3
2021;4.51;4.94;5.28;4.22;4.17;3.91;1.38;295.0;0.35;1.37;0.85;0.28;0.5;3.71;3.48;0.0;0.0;0.7;0.7;6516;64;ETER3
2012;0.08;158.58;4.63;2.63;10.57;5.16;0.67;154.0;0.35;1.79;0.02;0.0;0.09;192.86;94.19;0.0115;2.2;0.42;0.45;123;1;LCAM3
2013;0.26;26.8;4.67;1.5;5.24;2.8;0.37;163.0;0.3;0.84;0.06;0.01;0.09;166.94;89.14;0.025699999999999997;0.65;0.18;-0.42;202;1;LCAM3
2014;0.4;10.66;4.72;0.9;2.37;1.38;0.2;201.0;0.32;0.44;0.08;0.02;0.12;125.58;73.17;0.039900000000000005;0.5;0.17;-0.37;182;1;LCAM3
2015;0.32;10.57;4.99;0.68;1.78;1.0;0.14;223.0;0.31;0.31;0.06;0.01;0.13;117.24;65.79;0.0674;0.14;0.27;-0.07;59;0;LCAM3
2016;0.48;12.53;4.61;1.29;2.57;1.56;0.29;249.0;0.33;0.52;0.1;0.02;0.16;96.96;58.84;0.09050000000000001;1.61;0.04;0.95;27;0;LCAM3
2017;0.75;25.54;5.86;3.28;7.07;4.38;0.66;361.0;0.33;1.45;0.13;0.03;0.14;67.1;41.59;0.012;0.23;0.1;2.29;85;1;LCAM3
2018;1.64;22.95;21.95;1.72;8.04;5.24;0.5;841.0;0.29;1.51;0.07;0.02;0.11;29.11;18.97;0.0194;0.54;0.66;0.91;749;6;LCAM3
2019;0.67;34.08;7.67;2.96;14.46;9.1;1.05;1270.0;0.26;2.41;0.09;0.03;0.11;20.88;13.13;0.0454;0.38;0.7;0.79;3364;30;LCAM3
2020;0.76;38.53;8.23;3.56;19.19;8.5;1.03;1754.0;0.31;2.67;0.09;0.03;0.09;22.45;9.95;0.0126;0.2;1.29;0.29;12512;77;LCAM3
2021;1.04;26.58;8.65;3.18;13.7;7.1;1.06;1973.0;0.33;2.34;0.12;0.04;0.11;17.97;9.31;0.0167;0.32;0.94;-0.04;11321;73;LCAM3
2019;1.1;26.56;4.61;6.32;23.39;21.36;3.66;322.0;0.43;9.18;0.24;0.14;0.21;25.54;23.32;0.0058;0.01;0.34;0.21;4638;49;VIVA3
2020;0.63;47.02;4.96;5.94;33.94;26.42;3.25;263.0;0.25;6.65;0.13;0.07;0.13;36.72;28.58;0.0037;0.24;1.34;0.01;6369;38;VIVA3
2021;0.57;58.01;4.97;6.62;41.35;31.5;3.91;247.0;0.23;7.34;0.11;0.07;0.12;40.56;30.9;0.0049;0.26;0.97;0.16;4912;30;VIVA3
2009;-1.62;-13.92;13.75;1.64;-13.26;-13.87;0.64;-222.0;-3.52;48.82;-0.12;-0.05;-0.07;-95.4;-99.84;0.3156;-0.22;0.57;2.22;395;7;ENEV3
2010;-1.86;-14.18;12.44;2.12;-13.48;-13.54;0.57;-266.0;-2.71;36.74;-0.15;-0.04;-0.05;-90.77;-91.16;0.0;0.0;0.62;0.15;728;12;ENEV3
2011;-2.93;-15.85;10.02;4.64;-18.92;-19.41;0.8;-328.0;-1.95;37.84;-0.29;-0.05;-0.05;-78.91;-80.95;0.0;0.0;0.65;0.74;715;15;ENEV3
2012;-0.75;-14.86;4.68;2.38;-15.31;-15.44;0.68;-418.0;-0.85;13.16;-0.16;-0.05;-0.05;-65.57;-66.11;0.0;0.0;0.55;-0.31;1766;21;ENEV3
2013;-1.34;-2.23;3.66;0.82;-4.94;-7.51;0.22;-281.0;-0.2;1.47;-0.37;-0.1;-0.05;-65.72;-100.0;0.0;0.0;0.6;-0.74;3530;12;ENEV3
2014;-1.85;-0.22;1.45;0.28;-0.7;-1.07;0.05;-313.0;-0.17;0.19;-1.28;-0.22;-0.07;-56.17;-86.62;0.0;0.0;0.52;-0.87;1866;4;ENEV3
2015;0.01;16.41;0.22;0.63;17.42;7.35;0.27;308.0;0.2;1.49;0.04;0.02;0.02;200.67;84.61;0.0;0.0;-0.08;-0.67;365;1;ENEV3
2016;-0.46;-25.87;18.73;0.64;5.08;3.1;0.27;917.0;0.42;1.32;-0.02;-0.01;0.06;47.22;28.85;0.0;0.0;0.39;-0.08;208;0;ENEV3
2017;0.3;46.09;17.06;0.81;6.2;3.89;0.4;1125.0;0.41;1.61;0.02;0.01;0.07;36.12;22.67;0.0;0.0;0.24;0.17;399;2;ENEV3
2018;2.82;5.7;19.95;0.81;4.53;3.24;0.41;1563.0;0.5;1.62;0.14;0.07;0.11;23.17;16.59;0.0;0.0;0.33;0.14;1167;5;ENEV3
2019;1.9;23.01;21.87;2.0;14.25;9.46;0.99;1457.0;0.46;4.39;0.09;0.04;0.08;26.78;17.78;0.0;0.0;0.45;1.61;4846;33;ENEV3
2020;3.19;19.48;25.11;2.47;17.56;12.27;1.21;1599.0;0.49;6.05;0.13;0.06;0.08;24.42;17.06;0.0;0.0;0.81;0.42;8400;86;ENEV3
2021;0.82;21.15;6.39;2.7;19.71;13.56;1.33;1606.0;0.49;6.69;0.13;0.06;0.08;24.53;16.88;0.0;0.0;0.84;0.1;16472;121;ENEV3
2007;0.43;35.34;6.4;2.38;9.4;0.0;0.72;0.0;0.0;0.93;0.07;0.02;0.08;47.29;0.0;0.0118;0.0;0.7;-0.16;153;7;MRFG3
2008;-0.09;-80.17;10.28;0.73;2.76;2.27;0.22;884.0;0.14;0.32;-0.01;0.0;0.09;24.68;20.23;0.0;0.0;0.58;-0.51;205;6;MRFG3
2009;1.98;9.64;12.12;1.58;12.15;8.08;0.58;820.0;0.09;0.69;0.16;0.06;0.05;34.37;22.86;0.0256;0.0;0.62;1.61;876;10;MRFG3
2010;0.4;38.37;11.56;1.34;6.13;3.58;0.24;1502.0;0.09;0.34;0.03;0.01;0.05;22.13;12.9;0.009000000000000001;0.71;0.74;-0.2;2589;27;MRFG3
2011;-2.16;-3.95;9.89;0.86;2.86;1.66;0.12;1774.0;0.08;0.13;-0.22;-0.03;0.06;21.11;12.28;0.0012;-0.08;1.16;-0.45;3653;33;MRFG3
2012;-0.49;-17.26;9.04;0.94;3.46;2.04;0.16;1981.0;0.08;0.17;-0.05;-0.01;0.06;19.67;11.58;0.0;-0.06;0.99;-0.06;4609;28;MRFG3
2013;-1.72;-2.32;5.99;0.67;2.34;1.49;0.12;1397.0;0.07;0.1;-0.29;-0.05;0.06;23.41;14.93;0.0;0.0;0.81;-0.55;6508;25;MRFG3
2014;-1.38;-4.41;3.98;1.53;2.93;1.9;0.16;1668.0;0.08;0.15;-0.35;-0.04;0.07;20.39;13.26;0.0;0.0;1.3;0.58;5612;14;MRFG3
2015;-1.04;-6.13;1.62;3.92;2.55;1.91;0.16;1728.0;0.08;0.16;-0.64;-0.03;0.09;16.03;12.01;0.0;0.0;0.81;0.12;6374;15;MRFG3
2016;-1.3;-5.07;2.11;3.13;24.97;12.52;0.17;275.0;0.05;0.58;-0.62;-0.03;0.01;141.23;70.84;0.0;0.0;0.48;0.06;6972;17;MRFG3
2017;-0.71;-10.24;4.24;1.73;4.09;2.9;0.21;1566.0;0.08;0.24;-0.17;-0.02;0.08;19.46;13.82;0.0;-0.03;0.81;0.14;5669;14;MRFG3
2018;3.47;1.57;6.46;0.85;8.02;3.15;0.13;1075.0;0.04;0.11;0.54;0.08;0.02;51.13;20.11;0.0;0.21;0.71;-0.25;7561;22;MRFG3
2019;2.23;4.48;2.5;3.99;2.08;1.54;0.22;4610.0;0.09;0.15;0.89;0.05;0.17;8.03;5.95;0.0;1.31;0.66;0.76;13792;47;MRFG3
2020;6.37;2.28;4.94;2.94;1.31;1.12;0.26;9247.0;0.14;0.15;1.29;0.11;0.31;3.73;3.17;0.0;0.28;1.03;0.44;29133;180;MRFG3
2021;7.13;2.68;5.58;3.42;1.65;1.4;0.33;9691.0;0.14;0.19;1.28;0.12;0.29;3.91;3.32;0.0105;0.28;0.33;0.35;25269;168;MRFG3
2007;1.14;30.61;0.58;60.12;24.05;23.42;2.69;72.0;0.51;11.86;1.96;0.09;0.11;10.54;10.27;0.0;0.0;0.5;0.5;57;3;LPSB3
2008;-1.01;-6.53;0.06;108.79;-7.77;-18.04;1.13;-18.0;-0.08;1.41;-0.01667;-0.17;-0.15;-16.48;-38.24;0.1076;-0.92;0.46;-0.82;45;3;LPSB3
2009;1.38;17.74;0.38;63.5;15.88;14.38;3.62;84.0;0.37;5.39;3.58;0.2;0.23;9.11;8.25;0.0;0.18;0.51;2.64;69;2;LPSB3
2010;2.39;16.31;6.05;6.45;14.65;12.77;2.19;169.0;0.5;6.37;0.4;0.13;0.21;2.82;2.46;0.0213;0.47;0.6;0.72;91;3;LPSB3
2011;2.69;9.68;9.37;2.77;15.98;10.62;1.3;139.0;0.32;3.4;0.29;0.13;0.1;4.97;3.3;0.0177;0.26;0.66;-0.36;331;5;LPSB3
2012;2.3;16.47;11.14;3.39;26.31;15.49;1.81;139.0;0.33;5.1;0.21;0.11;0.08;6.23;3.67;0.0169;0.36;0.44;0.47;476;5;LPSB3
2013;1.44;10.01;6.36;2.27;13.76;9.15;1.41;181.0;0.36;3.28;0.23;0.14;0.12;4.47;2.97;0.0215;0.29;0.38;-0.22;1104;6;LPSB3
2014;-0.03;-247.83;5.8;1.12;-13.77;141.02;0.76;5.0;0.02;2.41;0.0;0.0;-0.06;-10.69;109.45;0.056900000000000006;-0.027000000000000003;0.42;-0.53;829;3;LPSB3
2015;-3.88;-0.58;1.27;1.77;-0.67;-0.78;0.69;-333.0;-1.63;1.27;-3.05;-1.18;-1.24;-1.66;-1.91;0.0044;-0.07;0.75;-0.64;418;1;LPSB3
2016;-0.24;-16.22;1.16;3.35;-13.9;-8.52;1.42;-57.0;-0.39;3.29;-0.21;-0.09;-0.13;-17.92;-10.99;0.0;-0.47;0.67;0.76;144;0;LPSB3
2017;-0.5;-11.28;0.62;9.09;-8.97;-12.16;2.41;-58.0;-0.52;6.3;-0.81;-0.21;-0.32;-8.37;-11.35;0.0;-0.16;1.21;0.51;520;1;LPSB3
2018;-0.37;-16.9;0.17;37.82;-24.07;-48.96;3.44;-16.0;-0.15;7.29;-2.24;-0.2;-0.16;-20.55;-41.8;0.0;-0.28;0.71;0.08;637;1;LPSB3
2019;-0.02;-468.73;1.2;7.94;351.55;56.54;3.47;25.0;0.17;9.57;-0.02;-0.01;0.02;136.51;21.96;0.0;-5.0;1.15;0.51;1333;3;LPSB3
2020;0.1;48.99;1.17;4.25;20.41;13.19;1.85;56.0;0.34;4.43;0.09;0.04;0.14;15.39;9.95;0.0;1.47;1.43;-0.47;2615;7;LPSB3
2021;0.19;23.56;1.18;3.79;13.19;9.13;1.67;72.0;0.39;3.53;0.16;0.07;0.2;10.95;7.58;0.0;0.89;1.24;-0.06;2038;5;LPSB3
2020;0.22;41.27;4.37;2.06;12.39;6.99;0.7;572.0;0.08;0.58;0.05;0.02;0.08;16.6;9.37;0.0;0.0;0.42;-0.12;2415;9;PGMN3
2021;0.3;38.18;4.45;2.53;14.09;7.48;0.87;669.0;0.1;0.72;0.07;0.02;0.09;15.24;8.09;0.0;0.0;0.35;0.24;3090;10;PGMN3
2013;0.88;17.41;2.44;6.28;7.46;6.85;0.96;290.0;0.45;3.1;0.36;0.06;0.16;20.75;19.04;0.0;0.0;-0.24;-0.01;952;12;CVCB3
2014;1.12;13.86;3.48;4.45;6.29;5.81;0.89;351.0;0.49;2.85;0.32;0.06;0.17;17.01;15.7;0.014199999999999999;0.2;0.46;0.0;634;4;CVCB3
2015;1.31;10.3;4.92;2.74;4.72;4.36;0.64;416.0;0.47;2.06;0.27;0.06;0.17;14.89;13.75;0.0548;0.56;0.43;-0.07;1238;6;CVCB3
2016;1.47;16.08;5.34;4.44;7.25;6.36;0.96;500.0;0.47;2.99;0.28;0.06;0.16;13.21;11.6;0.0384;0.62;0.67;0.98;2360;15;CVCB3
2017;1.69;28.76;5.6;8.66;14.05;12.25;1.44;561.0;0.47;5.8;0.3;0.05;0.13;12.56;10.94;0.0095;0.33;0.78;1.13;3807;31;CVCB3
2018;1.82;33.7;7.61;8.04;16.45;13.6;1.45;659.0;0.39;5.3;0.24;0.04;0.1;12.16;10.06;0.008199999999999999;0.27;1.21;0.24;5681;61;CVCB3
2019;0.0;0.0;5.36;8.18;23.59;15.25;0.95;428.0;0.25;3.82;0.0;0.0;0.05;25.37;16.41;0.0103;0.0;0.96;-0.28;8126;95;CVCB3
2020;-7.1;-2.9;0.33;62.4;-2.54;-2.99;0.7;-1191.0;-1.91;5.7;-0.02153;-0.24;-0.38;-4.36;-5.14;0.0;-0.05;1.65;-0.54;18138;123;CVCB3
2021;-0.91;-30.72;2.06;13.55;-6.76;-9.54;1.0;-506.0;-1.29;12.27;-0.44;-0.03;-0.19;-8.68;-12.26;0.0;0.0;1.24;0.38;15167;140;CVCB3
2020;-0.15;-91.82;3.3;4.06;-75.42;638.64;2.75;10.0;0.01;5.1;-0.04;-0.03;-0.06;-89.75;759.99;0.0;-5.55;0.57;0.21;3897;24;SOMA3
2021;-0.02;-688.21;3.59;4.45;-204.6;97.23;2.98;78.0;0.06;5.81;-0.01;0.0;-0.02;-208.63;99.14;0.0;-0.03609;0.67;0.22;5939;33;SOMA3
2016;-8.15;-1.23;54.54;0.18;-1.6;-2.48;0.09;-72.0;-0.09;0.21;-0.15;-0.07;-0.06;-16.01;-24.8;0.0;0.0;0.38;-0.23;83;0;TESA3
2017;0.45;33.34;55.32;0.27;5.44;3.12;0.12;86.0;0.11;0.34;0.01;0.0;0.02;37.28;21.33;0.0;0.0;0.44;0.47;50;0;TESA3
2018;2.4;5.1;52.47;0.23;1.59;1.27;0.09;172.0;0.15;0.2;0.05;0.02;0.07;13.76;11.02;0.0;0.0;0.31;-0.19;42;0;TESA3
2019;-6.15;-3.58;43.58;0.5;-19.84;17.67;0.19;27.0;0.03;0.5;-0.14;-0.05;-0.01;-76.07;67.78;0.0;0.0;0.31;0.77;57;0;TESA3
2020;-2.62;-9.94;36.0;0.72;2.27;1.86;0.19;304.0;0.25;0.46;-0.07;-0.02;0.1;8.28;6.78;0.0;0.0;0.77;0.16;186;1;TESA3
2021;-4.91;-9.49;31.59;1.48;4.46;3.41;0.37;298.0;0.22;0.75;-0.16;-0.04;0.09;9.19;7.02;0.0;0.0;0.35;0.71;172;2;TESA3
2009;0.37;22.83;2.7;3.14;10.81;5.53;1.41;74.0;0.19;1.04;0.14;0.06;0.14;27.65;14.15;0.0;0.0;0.4;2.45;47;1;CARD3
2010;0.7;9.66;3.13;2.16;6.08;4.24;1.05;77.0;0.2;0.86;0.22;0.11;0.2;18.85;13.15;0.0325;0.06;0.43;-0.22;47;1;CARD3
2011;0.52;8.93;3.24;1.42;5.49;3.4;0.65;63.0;0.16;0.54;0.16;0.07;0.14;26.53;16.41;0.0717;0.58;0.48;-0.25;78;0;CARD3
2012;0.49;8.48;3.46;1.21;5.42;3.05;0.58;64.0;0.17;0.52;0.14;0.07;0.12;28.77;16.21;0.0406;0.26;0.33;-0.03;63;0;CARD3
2013;0.02;133.85;3.57;0.87;14.87;3.96;0.39;34.0;0.1;0.38;0.01;0.0;0.03;118.76;31.61;0.0;7.0;0.32;-0.25;48;0;CARD3
2014;0.29;10.83;3.8;0.82;4.81;2.44;0.37;53.0;0.13;0.33;0.08;0.03;0.08;39.18;19.88;0.028900000000000002;0.0;0.63;0.05;64;0;CARD3
2015;0.48;6.23;4.09;0.73;3.04;1.78;0.33;70.0;0.15;0.27;0.12;0.05;0.12;25.39;14.9;0.057;0.15;0.58;0.09;69;0;CARD3
2016;0.86;5.69;4.62;1.06;3.53;2.25;0.58;91.0;0.2;0.44;0.19;0.1;0.19;17.93;11.44;0.0633;0.17;0.41;0.8;167;0;CARD3
2017;1.1;8.95;5.33;1.85;5.97;4.1;1.03;100.0;0.21;0.85;0.21;0.12;0.22;14.5;9.98;0.0365;0.26;0.95;1.08;780;3;CARD3
2018;0.81;8.47;5.74;1.2;6.0;3.53;0.73;81.0;0.19;0.69;0.14;0.09;0.14;21.25;12.52;0.0508;0.47;0.8;-0.3;644;2;CARD3
2019;0.67;18.3;6.15;1.99;11.39;4.95;1.04;104.0;0.24;1.18;0.11;0.06;0.11;24.09;10.46;0.0204;0.29;0.7;0.81;494;1;CARD3
2020;1.15;13.14;6.99;2.16;8.88;4.82;1.17;131.0;0.29;1.38;0.16;0.09;0.17;14.72;7.99;0.0192;0.19;0.52;0.18;1078;4;CARD3
2021;1.24;19.01;7.22;3.27;12.84;7.26;1.83;136.0;0.29;2.12;0.17;0.1;0.18;13.5;7.63;0.0199;0.19;0.55;0.6;1363;6;CARD3
2009;0.44;27.84;9.84;1.24;26.32;25.19;1.16;975.0;0.65;16.35;0.04;0.04;0.04;37.2;35.59;0.0212;0.72;1.19;0.94;9480;161;B3SA3
2010;0.58;22.7;9.81;1.34;20.07;19.27;1.15;1349.0;0.64;12.37;0.06;0.05;0.06;25.77;24.73;0.0381;0.85;1.23;0.05;10713;167;B3SA3
2011;0.54;18.03;9.99;0.98;14.46;13.66;0.8;1383.0;0.65;8.93;0.05;0.04;0.06;25.76;24.35;0.0571;0.85;0.99;-0.23;13010;146;B3SA3
2012;0.56;25.16;10.05;1.39;18.62;17.51;1.12;1545.0;0.73;12.74;0.06;0.04;0.07;22.52;21.17;0.034300000000000004;1.07;1.06;0.5;17585;138;B3SA3
2013;0.57;19.37;10.19;1.09;13.91;12.88;0.81;1626.0;0.76;9.83;0.06;0.04;0.07;21.32;19.75;0.0524;1.02;0.84;-0.18;18008;147;B3SA3
2014;0.54;18.17;10.5;0.94;12.38;11.43;0.7;1558.0;0.77;8.77;0.05;0.04;0.06;23.56;21.76;0.0406;0.76;1.32;-0.03;21782;157;B3SA3
2015;1.24;8.81;10.3;1.06;8.45;8.06;0.74;2409.0;1.09;8.76;0.12;0.08;0.13;12.59;12.0;0.0725;0.65;1.04;0.23;20951;137;B3SA3
2016;0.8;20.74;10.51;1.57;27.37;25.1;0.96;1193.0;0.51;12.91;0.08;0.05;0.06;26.39;24.2;0.030899999999999997;0.4;0.98;0.63;20429;182;B3SA3
2017;0.63;36.19;11.81;1.93;31.61;21.32;1.25;2200.0;0.6;12.77;0.05;0.03;0.05;23.37;15.77;0.019799999999999998;0.6;0.99;0.43;20672;202;B3SA3
2018;1.01;26.43;12.16;2.2;23.08;16.5;1.47;3345.0;0.69;11.43;0.08;0.06;0.08;13.53;9.67;0.0265;0.73;1.13;0.21;24353;251;B3SA3
2019;1.32;32.6;12.34;3.48;27.37;20.76;2.21;4262.0;0.65;13.46;0.11;0.07;0.11;9.15;6.94;0.019299999999999998;0.76;1.33;0.57;25392;399;B3SA3
2020;2.02;30.74;11.91;5.2;22.78;19.21;2.75;6644.0;0.71;13.68;0.17;0.09;0.18;4.68;3.95;0.0345;0.0;1.05;0.41;39678;698;B3SA3
2021;0.71;24.02;3.94;4.32;17.45;14.88;2.28;7076.0;0.72;10.72;0.18;0.09;0.2;4.34;3.7;0.1585;-0.15;0.93;-0.16;44728;817;B3SA3
2021;1.07;8.66;2.37;3.92;5.68;4.92;2.38;10551.0;0.6;2.95;0.45;0.27;0.61;5.28;4.58;0.0;0.64;0.0;0.09;11149;87;CMIN3
2017;6.82;8.78;51.14;1.17;5.31;4.36;0.6;1384.0;0.36;1.56;0.13;0.07;0.12;7.53;6.18;0.0;0.41;0.76;-0.01;1912;33;SAPR11
2018;8.87;6.93;56.75;1.08;4.52;3.77;0.57;1642.0;0.39;1.49;0.16;0.08;0.13;6.43;5.37;0.0545;0.33;0.57;0.08;1819;24;SAPR11
2019;10.74;9.44;61.27;1.66;6.25;5.18;0.86;1972.0;0.42;2.16;0.18;0.09;0.14;5.61;4.65;0.0424;0.36;0.73;0.73;3357;50;SAPR11
2020;3.3;7.87;22.97;1.13;5.0;4.05;0.6;1940.0;0.4;1.64;0.14;0.08;0.13;5.82;4.71;0.0381;0.3;0.83;-0.21;8135;64;SAPR11
2021;3.27;6.23;23.79;0.86;3.94;3.17;0.44;1942.0;0.41;1.29;0.14;0.07;0.13;5.78;4.66;0.048600000000000004;0.31;0.64;-0.19;7540;52;SAPR11
2008;0.35;4.49;4.68;0.33;1.99;1.39;0.14;460.0;0.35;0.49;0.07;0.03;0.07;22.46;15.71;0.0645;0.34;0.31;-0.42;16;0;SAPR4
2009;0.34;7.83;4.91;0.54;3.52;2.38;0.22;458.0;0.33;0.78;0.07;0.03;0.06;23.37;15.75;0.038;0.27;0.28;0.7;16;0;SAPR4
2010;0.33;8.83;5.26;0.55;3.86;2.65;0.23;456.0;0.31;0.82;0.06;0.03;0.06;23.28;15.97;0.0308;0.26;0.39;0.18;11;0;SAPR4
2011;0.69;6.7;5.58;0.83;3.87;2.98;0.34;643.0;0.37;1.1;0.12;0.05;0.09;14.5;11.16;0.032400000000000005;0.12;0.14;0.63;29;0;SAPR4
2012;0.82;11.09;5.86;1.54;6.54;5.2;0.61;721.0;0.34;1.77;0.14;0.05;0.1;12.41;9.87;0.034300000000000004;0.33;0.2;1.05;31;1;SAPR4
2013;0.85;8.0;7.48;0.91;5.03;4.03;0.48;803.0;0.34;1.36;0.11;0.06;0.1;11.96;9.58;0.059000000000000004;0.51;0.34;-0.23;50;0;SAPR4
2014;0.89;6.54;7.97;0.73;4.18;3.31;0.37;836.0;0.32;1.06;0.11;0.06;0.09;12.36;9.78;0.0862;0.3;0.6;-0.1;49;0;SAPR4
2015;0.92;3.63;8.77;0.38;2.28;1.79;0.19;894.0;0.3;0.54;0.11;0.05;0.09;12.2;9.55;0.1552;0.43;0.27;-0.38;143;0;SAPR4
2016;1.25;8.62;9.54;1.13;5.68;4.62;0.57;1171.0;0.34;1.56;0.13;0.07;0.11;8.85;7.21;0.0298;0.31;0.62;2.61;765;5;SAPR4
2017;1.36;8.58;10.23;1.14;5.19;4.26;0.58;1384.0;0.36;1.52;0.13;0.07;0.12;7.53;6.18;0.057300000000000004;0.41;0.71;0.15;6371;38;SAPR4
2018;1.77;6.03;11.35;0.94;3.93;3.28;0.5;1642.0;0.39;1.3;0.16;0.08;0.13;6.43;5.37;0.0636;0.33;0.53;-0.02;1315;4;SAPR4
2019;2.15;9.81;12.25;1.72;6.49;5.39;0.89;1972.0;0.42;2.25;0.18;0.09;0.14;5.61;4.65;0.0403;0.36;0.69;1.0;2369;9;SAPR4
2020;0.66;7.72;4.59;1.11;4.91;3.97;0.58;1940.0;0.4;1.61;0.14;0.08;0.13;5.82;4.71;0.0392;0.3;0.82;-0.24;5432;17;SAPR4
2021;0.65;6.33;4.76;0.87;4.0;3.22;0.45;1942.0;0.41;1.31;0.14;0.07;0.13;5.78;4.66;0.0483;0.31;0.58;-0.17;6077;22;SAPR4
2020;-1.21;-9.56;11.77;0.99;-13.68;-14.52;0.47;-68.0;-0.13;1.92;-0.1;-0.05;-0.04;-13.31;-14.13;0.0;0.0;1.38;-0.37;1835;7;MDNE3
2021;-0.64;-16.01;11.98;0.85;-16.95;-18.69;0.4;-46.0;-0.08;1.42;-0.05;-0.02;-0.03;-17.56;-19.36;0.0;0.0;0.92;-0.14;1276;3;MDNE3
2007;0.31;28.72;5.03;1.76;45.56;42.17;1.44;31.0;0.17;7.1;0.06;0.05;0.03;247.12;228.76;0.0;0.02;0.75;-0.16;150;6;EZTC3
2008;0.71;3.32;5.56;0.42;4.39;4.43;0.37;76.0;0.23;1.01;0.13;0.11;0.08;93.25;94.05;0.0298;0.1;0.49;-0.73;96;1;EZTC3
2009;1.14;7.43;6.45;1.32;7.61;7.58;1.07;161.0;0.32;2.41;0.18;0.14;0.14;45.2;45.03;0.015300000000000001;0.11;0.54;2.68;208;2;EZTC3
2010;1.72;8.17;7.79;1.8;8.82;8.81;1.46;228.0;0.36;3.16;0.22;0.18;0.19;30.84;30.81;0.0192;0.15;0.81;0.68;272;2;EZTC3
2011;2.26;7.0;9.66;1.63;8.02;7.96;1.31;291.0;0.39;3.11;0.23;0.19;0.2;23.96;23.79;0.024700000000000003;0.17;1.07;0.16;755;5;EZTC3
2012;2.31;11.12;11.42;2.25;12.12;12.08;1.76;312.0;0.39;4.72;0.2;0.16;0.16;22.94;22.85;0.0206;0.23;0.58;0.64;1546;9;EZTC3
2013;4.01;7.26;14.38;2.03;7.51;7.38;1.5;580.0;0.51;3.76;0.28;0.21;0.22;12.76;12.53;0.018500000000000003;0.13;0.64;0.12;1812;11;EZTC3
2014;3.23;6.81;16.47;1.34;7.39;7.24;0.95;446.0;0.47;3.39;0.2;0.14;0.14;17.02;16.67;0.0432;0.29;0.85;-0.19;2011;11;EZTC3
2015;2.83;4.5;17.22;0.74;5.11;5.02;0.61;399.0;0.49;2.46;0.16;0.14;0.14;17.86;17.53;0.087;0.36;0.82;-0.33;2647;8;EZTC3
2016;1.41;11.13;17.24;0.91;15.37;15.09;0.73;171.0;0.3;4.51;0.08;0.07;0.06;41.41;40.66;0.0633;0.67;0.86;0.45;2577;9;EZTC3
2017;2.2;9.84;15.54;1.39;11.23;11.21;1.15;319.0;0.33;3.65;0.14;0.12;0.13;21.51;21.47;0.17370000000000002;1.71;1.07;0.62;2779;12;EZTC3
2018;0.62;40.08;15.98;1.57;1376.11;1150.91;1.39;4.0;0.01;10.59;0.04;0.03;0.0;2254.46;1885.53;0.0208;0.83;1.04;0.16;2740;11;EZTC3
2019;1.28;40.49;16.78;3.09;53.55;52.69;2.76;224.0;0.28;14.65;0.08;0.07;0.07;26.82;26.39;0.0027;0.08;0.87;1.02;4354;31;EZTC3
2020;2.08;20.62;20.68;2.07;32.13;31.78;1.82;270.0;0.29;9.17;0.1;0.09;0.07;22.83;22.57;0.0068000000000000005;0.16;1.32;-0.18;12292;106;EZTC3
2021;2.06;15.19;21.06;1.49;24.5;24.42;1.31;257.0;0.29;7.11;0.1;0.09;0.07;23.57;23.49;0.0134;0.16;1.2;-0.24;10735;90;EZTC3
2018;2.74;8.31;32.48;0.7;4.6;3.68;0.37;545.0;0.75;2.77;0.08;0.04;0.09;10.83;8.65;0.0176;0.39;0.2;-0.13;24;0;JPSA3
