Ano;LPA;P_L;VPA;P_VP;P_EBIT;P_EBITDA;P_Ativos;Ebitda;Marg_Ebitda;PSR;ROE;ROA;ROIC;EV_EBIT;EV_EBITDA;Div_Yield;Div_Payout;Beta;Valorizacao;Negocios_dia;Volume_diario;Ticker
2017;0.78;11.71;3.19;2.85;9.24;7.54;2.0;297.0;0.23;1.77;0.24;0.17;0.26;9.96;8.13;0.0;0.0;0.82;2.78;407;2;VULC3
2018;0.62;11.4;3.83;1.85;10.91;8.0;1.32;218.0;0.17;1.4;0.16;0.12;0.13;15.06;11.06;0.0;0.0;1.02;-0.24;1741;5;VULC3
2019;0.58;15.81;4.42;2.08;16.04;10.16;1.67;222.0;0.16;1.66;0.13;0.11;0.11;17.02;10.79;0.0;0.0;0.76;0.26;1666;5;VULC3
2020;0.13;59.5;4.58;1.75;53.07;17.49;1.17;112.0;0.1;1.67;0.03;0.02;0.03;67.3;22.19;0.0;0.0;0.91;-0.11;2916;6;VULC3
2021;0.16;61.19;4.65;2.09;45.02;16.78;1.4;142.0;0.11;1.91;0.03;0.02;0.04;48.86;18.21;0.0;0.0;0.99;0.23;2145;6;VULC3
2015;-1.16;-3.5;14.25;0.28;-5.04;-4.58;0.15;-75.0;-0.05;0.21;-0.08;-0.04;-0.04;-19.41;-17.61;0.0;0.0;0.7;-0.39;568;2;MEAL3
2016;-0.27;-18.73;3.63;1.37;-29.05;-26.04;0.95;-55.0;-0.04;0.92;-0.07;-0.05;-0.04;-24.24;-21.73;0.0;0.0;0.24;0.2;668;2;MEAL3
2017;0.02;497.71;3.5;2.48;82.95;107.1;1.65;23.0;0.02;1.67;0.0;0.0;0.02;41.22;53.22;0.0;0.0;0.4;0.79;1523;5;MEAL3
2018;0.03;225.6;3.54;2.0;78.09;94.15;1.24;22.0;0.01;1.28;0.01;0.01;0.02;49.14;59.24;0.0014000000000000002;0.0;0.58;-0.22;1888;6;MEAL3
2019;-0.05;-171.82;4.0;2.1;48.11;53.85;0.9;45.0;0.03;1.5;-0.01;-0.01;0.02;29.55;33.08;0.0012;-0.07;0.27;0.21;1966;7;MEAL3
2020;-1.66;-2.54;4.12;1.02;-2.16;-2.66;0.44;-454.0;-0.39;1.05;-0.4;-0.17;-0.27;-2.49;-3.05;0.0;0.0;1.18;-0.53;10390;42;MEAL3
2021;-1.69;-2.41;4.05;1.0;-2.07;-2.68;0.42;-435.0;-0.39;1.05;-0.42;-0.17;-0.27;-2.45;-3.17;0.0;0.0;1.25;-0.01;5842;23;MEAL3
2000;0.23;11.88;2.46;1.12;4.34;0.0;0.38;0.0;0.0;0.27;0.09;0.03;0.1;65.54;0.0;0.0327;0.0;0.16;0.82;2;0;POMO3
2001;0.66;5.62;2.64;1.4;2.79;0.0;0.36;0.0;0.0;0.29;0.25;0.06;0.15;32.83;0.0;0.0;0.0;-0.35;0.24;2;0;POMO3
2002;0.54;7.37;3.1;1.29;2.11;0.0;0.43;0.0;0.0;0.3;0.18;0.06;0.22;17.19;0.0;0.0475;0.0;0.31;0.15;1;0;POMO3
2003;0.77;5.83;3.44;1.31;6.5;0.0;0.47;0.0;0.0;0.39;0.22;0.08;0.08;46.46;0.0;0.07980000000000001;0.0;0.37;0.17;2;0;POMO3
2004;0.82;7.33;3.86;1.55;6.13;0.0;0.57;0.0;0.0;0.42;0.21;0.08;0.1;32.71;0.0;0.0567;0.0;-0.23;0.32;1;0;POMO3
2005;0.82;6.74;4.22;1.3;7.67;5.68;0.47;108.0;0.06;0.36;0.19;0.07;0.07;45.79;33.92;0.0691;0.42;-0.25;-0.13;1;0;POMO3
2006;0.57;8.48;2.43;2.0;8.1;6.66;0.75;163.0;0.09;0.62;0.24;0.09;0.1;27.87;22.93;0.047400000000000005;0.3;-0.19;0.66;4;0;POMO3
2007;0.63;10.95;2.68;2.57;10.87;8.86;0.75;174.0;0.08;0.73;0.24;0.07;0.08;28.87;23.52;0.0478;0.35;0.29;0.43;10;0;POMO3
2008;0.65;4.61;3.12;0.96;2.94;2.43;0.27;274.0;0.11;0.26;0.21;0.06;0.1;19.42;16.05;0.0805;0.41;0.27;-0.56;6;0;POMO3
2009;0.65;9.18;3.27;1.82;9.12;7.41;0.53;180.0;0.09;0.65;0.2;0.06;0.06;30.58;24.85;0.0538;0.54;0.09;0.92;7;0;POMO3
2010;0.66;9.1;2.16;2.8;7.4;6.76;0.89;398.0;0.13;0.91;0.31;0.1;0.18;10.57;9.66;0.0646;0.25;0.17;1.08;17;0;POMO3
2011;0.77;8.36;2.62;2.45;6.72;6.19;0.85;464.0;0.14;0.85;0.29;0.1;0.2;8.86;8.17;0.059000000000000004;0.43;0.62;0.05;23;0;POMO3
2012;0.68;17.49;2.93;4.04;13.52;12.05;1.51;440.0;0.12;1.39;0.23;0.09;0.15;10.26;9.14;0.0287;0.55;0.51;1.02;34;1;POMO3
2013;0.33;14.88;1.72;2.85;11.05;10.05;1.06;435.0;0.12;1.2;0.19;0.07;0.13;10.8;9.83;0.0245;0.46;0.36;-0.19;34;0;POMO3
2014;0.25;13.41;1.88;1.81;11.34;9.84;0.68;306.0;0.09;0.89;0.13;0.05;0.08;16.68;14.48;0.0472;0.54;0.53;-0.27;66;0;POMO3
2015;0.1;16.64;2.09;0.81;9.07;7.13;0.3;213.0;0.08;0.55;0.05;0.02;0.05;26.16;20.55;0.0412;0.95;0.7;-0.41;88;0;POMO3
2016;0.24;8.88;2.02;1.06;6.52;5.62;0.4;354.0;0.14;0.77;0.12;0.05;0.09;13.34;11.51;0.0605;0.53;0.44;0.37;110;0;POMO3
2017;0.09;36.33;2.08;1.55;40.26;24.89;0.63;120.0;0.04;1.04;0.04;0.02;0.02;54.15;33.48;0.0062;0.21;0.94;0.52;184;1;POMO3
2018;0.21;15.71;2.31;1.41;10.02;8.33;0.59;362.0;0.09;0.72;0.09;0.04;0.08;13.92;11.57;0.0337;0.17;0.66;0.06;164;0;POMO3
2019;0.22;19.74;2.49;1.78;16.68;12.44;0.81;338.0;0.08;0.97;0.09;0.04;0.07;15.23;11.36;0.013500000000000002;0.38;0.54;0.37;180;0;POMO3
2020;0.1;28.3;2.75;0.99;14.97;9.59;0.44;269.0;0.07;0.72;0.03;0.02;0.04;24.4;15.63;0.0588;0.76;0.93;-0.34;598;1;POMO3
2021;0.07;46.34;2.8;1.16;33.61;14.5;0.51;211.0;0.06;0.87;0.02;0.01;0.02;47.37;20.43;0.0155;0.92;0.7;0.2;607;1;POMO3
2009;1.94;15.49;51.69;0.58;15.38;4.86;0.27;2549.0;0.1;0.47;0.04;0.02;0.02;32.76;10.35;0.0177;0.43;1.01;0.66;36;0;GOAU3
2010;5.55;4.25;44.32;0.53;2.7;1.77;0.23;5498.0;0.18;0.31;0.13;0.05;0.09;8.12;5.33;0.023700000000000002;0.39;0.92;-0.22;19;0;GOAU3
2011;4.8;3.2;59.49;0.26;2.21;1.36;0.13;4640.0;0.13;0.18;0.08;0.04;0.07;9.04;5.59;0.0346;0.27;1.12;-0.34;14;0;GOAU3
2012;3.23;5.59;64.98;0.28;3.21;1.8;0.14;4148.0;0.11;0.2;0.05;0.02;0.05;12.49;6.99;0.0227;0.37;0.98;0.19;39;1;GOAU3
2013;3.69;5.15;73.1;0.26;2.88;1.65;0.13;4747.0;0.12;0.2;0.05;0.03;0.05;10.78;6.17;0.0163;0.25;0.7;0.02;59;1;GOAU3
2014;2.68;3.22;75.7;0.11;1.24;0.7;0.06;5097.0;0.12;0.08;0.04;0.02;0.05;10.83;6.1;0.0348;0.37;0.61;-0.53;43;0;GOAU3
2015;-5.51;-0.27;33.39;0.05;-0.41;-1.89;0.02;-728.0;-0.02;0.03;-0.17;-0.07;-0.06;-10.92;-50.01;0.0728;-0.05;1.14;-0.81;119;0;GOAU3
2016;-3.28;-1.32;24.23;0.18;-2.53;4.67;0.08;891.0;0.02;0.11;-0.14;-0.06;-0.04;-18.7;34.5;0.0;-0.02;1.62;2.0;131;1;GOAU3
2017;-0.41;-12.44;23.77;0.21;4.57;1.57;0.1;3184.0;0.09;0.14;-0.02;-0.01;0.02;26.86;9.22;0.0039000000000000003;-0.23;1.2;0.2;177;1;GOAU3
2018;2.27;3.25;25.74;0.29;1.81;1.23;0.14;5915.0;0.13;0.16;0.09;0.04;0.09;6.89;4.69;0.0149;0.25;1.05;0.42;119;0;GOAU3
2019;1.1;7.84;25.04;0.35;2.96;1.79;0.17;5249.0;0.13;0.24;0.04;0.02;0.07;7.96;4.81;0.0173;0.38;0.85;0.18;155;0;GOAU3
2020;2.19;4.49;30.01;0.33;2.06;1.41;0.17;7608.0;0.17;0.24;0.07;0.04;0.1;4.61;3.14;0.0183;0.12;1.07;0.09;302;1;GOAU3
2021;4.26;3.03;33.37;0.39;1.7;1.3;0.2;10778.0;0.21;0.28;0.13;0.07;0.15;2.97;2.28;0.0349;0.14;0.78;0.3;327;1;GOAU3
2009;0.26;13.66;1.15;3.04;11.41;8.48;1.21;621.0;0.09;0.79;0.22;0.09;0.2;25.68;19.08;0.0771;1.08;0.01;0.33;3;0;WHRL3
2010;0.42;8.21;1.14;3.04;6.86;5.88;1.08;890.0;0.12;0.71;0.37;0.13;0.28;15.55;13.32;0.1121;0.99;0.07;0.11;3;0;WHRL3
2011;0.25;11.85;1.21;2.44;12.24;8.57;0.84;516.0;0.07;0.59;0.21;0.07;0.13;32.32;22.62;0.054400000000000004;0.67;-0.13;-0.11;4;0;WHRL3
2012;0.41;7.71;1.42;2.24;5.46;4.63;0.8;1030.0;0.12;0.56;0.29;0.1;0.27;13.74;11.64;0.0662;0.54;0.13;0.19;5;0;WHRL3
2013;0.55;7.12;1.64;2.37;5.47;4.75;0.89;1230.0;0.13;0.63;0.33;0.12;0.35;10.69;9.28;0.09;0.68;0.18;0.23;7;0;WHRL3
2014;0.48;8.4;1.42;2.82;5.7;4.96;0.97;1212.0;0.13;0.62;0.34;0.12;0.35;11.14;9.68;0.1775;1.55;0.13;0.28;5;0;WHRL3
2015;0.19;13.34;1.67;1.56;9.44;6.68;0.6;585.0;0.06;0.42;0.12;0.04;0.11;28.88;20.43;0.05;0.71;0.04;-0.35;6;0;WHRL3
2016;0.21;14.31;1.69;1.78;14.88;9.2;0.69;492.0;0.05;0.49;0.12;0.05;0.09;38.91;24.05;0.0;0.01;0.3;0.15;8;0;WHRL3
2017;0.28;16.33;1.58;2.94;18.01;11.75;1.02;595.0;0.06;0.74;0.18;0.06;0.12;29.18;19.04;0.1097;1.83;0.11;0.71;5;0;WHRL3
2018;0.12;36.93;1.46;2.95;27.04;15.82;0.83;408.0;0.07;1.04;0.08;0.02;0.05;49.12;28.74;0.0326;1.2;0.17;-0.05;6;0;WHRL3
2019;1.18;8.43;2.01;4.96;21.19;17.47;1.96;858.0;0.11;1.94;0.59;0.23;0.2;15.86;13.07;0.052199999999999996;0.45;0.84;1.56;14;0;WHRL3
2020;0.48;15.41;1.28;5.71;11.24;9.75;1.55;1129.0;0.12;1.19;0.37;0.1;0.53;10.87;9.43;0.16670000000000001;0.81;0.66;-0.15;58;0;WHRL3
2021;0.54;12.98;1.46;4.76;9.67;8.48;1.36;1235.0;0.12;1.05;0.37;0.1;0.61;9.4;8.25;0.06309999999999999;0.71;0.27;-0.03;54;0;WHRL3
2009;-1.69;-9.9;16.43;1.02;-9.38;13.81;0.41;731.0;0.07;0.93;-0.1;-0.04;-0.05;-10.86;15.99;0.0;-0.26;0.82;0.17;1231;9;OIBR4
2010;3.27;3.67;18.8;0.64;2.94;2.06;0.27;3516.0;0.34;0.71;0.17;0.07;0.12;3.93;2.75;0.0;0.0;0.72;-0.3;1508;11;OIBR4
2011;1.67;6.51;17.56;0.62;4.18;2.51;0.21;2612.0;0.28;0.71;0.1;0.03;0.07;6.61;3.97;0.0276;0.46;0.8;-0.09;2140;11;OIBR4
2012;0.99;8.37;6.3;1.32;3.14;1.87;0.22;7988.0;0.32;0.59;0.16;0.03;0.08;7.53;4.49;0.1839;1.35;0.68;-0.16;7659;40;OIBR4
